v3k;mod0
5569.9;33.939
4879.3;34.069
9625.9;35.675
4785.7;34.391
4056.8;33.871
4358.5;33.32
6030.7;34.776
4558.6;33.82
7963.3;35.316
6255.3;34.683
3371;33.482
3139.6;33.536
8292.1;35.442
4892.1;33.651
7780.6;35.399
9554.6;35.63
7591.9;34.51
6261.7;34.666
17490.3;36.97
3211.9;33.096
5709.6;34.421
10088.5;35.978
7489.9;35.269
7252.2;35.11
19011.4;37.427
10548.3;36.114
7769.4;35.147
5391.2;34.743
5109.6;34.612
4579;34.115
6957.1;35.046
6056.5;35.2
5516.1;34.816
5182.6;34.77
4206.1;33.228
3866;34.287
3183.9;32.7
7659.2;35.28
3005;33.199
8399.7;35.836
10855.2;36.184
4352.3;34.41
5284.8;33.76
5875.4;34.537
4248.1;33.99
7290.4;35.531
3292.5;33.48
3517.6;29
7505.4;35.417
6629.6;35.375
3984.4;33.235
4258.1;33.99
5825;35.21
3561.3;33.02
4402.8;34.261
11660.8;35.95
6449;34.46
5451.9;35.04
3106.2;33.393
10709.6;35.893
16311.6;36.22
5112.6;34.2
5810.8;33.55
7479;35.095
3159.9;31.54
3159.9;31.54
